Date : 2023-02-13 11:23:22
Directory : d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src
Total : 239 files,  101142 codes, 10778 comments, 9727 blanks, all 121647 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSandbox\storagePermissions.vue                              | Vue        |        165 |          8 |          9 |        182 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\DataSetEdit.vue                                         | Vue        |        254 |          4 |          2 |        260 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\creatFolder.vue                                         | Vue        |         91 |          3 |          3 |         97 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataModel\addEditViewModel.vue                          | Vue        |      1,419 |         57 |         25 |      1,501 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataModel\addSqlViewModel.vue                           | Vue        |        731 |         46 |         20 |        797 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataModel\colEdit.vue                                   | Vue        |        611 |         31 |          7 |        649 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataModel\sqlBasicInfo.vue                              | Vue        |        202 |         21 |          3 |        226 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataSet.vue                                             | Vue        |        927 |        163 |         33 |      1,123 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\dataSetAttr.vue                                         | Vue        |        150 |          1 |          4 |        155 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\moveFolder.vue                                          | Vue        |         86 |          2 |          1 |         89 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSet\panelModules\createDataSetPanel.vue                     | Vue        |      1,056 |        123 |          6 |      1,185 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\addDataType.vue                                      | Vue        |        108 |          2 |          2 |        112 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\addFileWin.vue                                       | Vue        |        130 |         12 |          2 |        144 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\creatDataSourceWin.vue                               | Vue        |        175 |         13 |          8 |        196 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\dataSource.vue                                       | Vue        |      1,255 |        119 |         49 |      1,423 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\editDataSourceWin.vue                                | Vue        |        287 |        145 |         11 |        443 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\newDataSourceOpen.vue                                | Vue        |        204 |          1 |          1 |        206 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\sqlEditWin.vue                                       | Vue        |        373 |          6 |          4 |        383 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\tableDetail.vue                                      | Vue        |         53 |          1 |          1 |         55 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\uploadFile.vue                                       | Vue        |        325 |         25 |          6 |        356 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataSource\viewLog.vue                                          | Vue        |         29 |          1 |          1 |         31 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dimManage\dimManage.vue                                         | Vue        |        435 |          6 |          9 |        450 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dimManage\editDimInfo.vue                                       | Vue        |        442 |          1 |          4 |        447 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dimManage\editDimLevelInfo.vue                                  | Vue        |        171 |          6 |          0 |        177 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dirManage\dirManage.vue                                         | Vue        |        348 |          6 |          6 |        360 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\downLoadManger\downLoadMain.vue                                 | Vue        |        346 |         36 |         16 |        398 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\downLoadManger\downloadList.vue                                 | Vue        |        651 |         47 |         13 |        711 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\iframe\iframes.vue                                              | Vue        |         13 |          8 |          3 |         24 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\indicators\indicatorsList.vue                                   | Vue        |      2,108 |        267 |         63 |      2,438 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\indicators\indicatorsTaskList.vue                               | Vue        |        436 |         42 |         13 |        491 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\indicators\myIndicatorsList.vue                                 | Vue        |        284 |         17 |          2 |        303 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\menus\menu.vue                                                  | Vue        |        529 |         17 |          6 |        552 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\orgManage\orgManage.vue                                         | Vue        |         23 |          0 |          3 |         26 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\orgManage\sysOrg.vue                                            | Vue        |        442 |          1 |          2 |        445 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\overView.vue                                           | Vue        |        646 |         32 |         97 |        775 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\temps\announcementNews.vue                             | Vue        |        532 |         21 |         21 |        574 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\temps\dataSetHeat.vue                                  | Vue        |        468 |          7 |         19 |        494 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\temps\reportMostPopular.vue                            | Vue        |        414 |         13 |         19 |        446 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\temps\reportNew.vue                                    | Vue        |        431 |          7 |         18 |        456 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\overView\temps\reportOverview.vue                               | Vue        |        587 |         34 |         29 |        650 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\powerManage\dataPowerSet.vue                                    | Vue        |        540 |         13 |          8 |        561 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\powerManage\dialogDataSelect.vue                                | Vue        |        311 |         13 |          3 |        327 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\powerManage\indPowerSet.vue                                     | Vue        |         10 |          0 |          3 |         13 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\powerManage\powerManage.vue                                     | Vue        |        295 |         13 |          8 |        316 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\specialReport\specialReport.vue                                 | Vue        |        482 |         30 |         68 |        580 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysDemand\model\demandDetails.vue                               | Vue        |        231 |          2 |         12 |        245 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysDemand\model\demandEdit.vue                                  | Vue        |        182 |          4 |         17 |        203 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysDemand\model\demandView.vue                                  | Vue        |         76 |          8 |         10 |         94 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysDemand\sysDemand.vue                                         | Vue        |        637 |          8 |         27 |        672 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysMenuAdministration\sysMenu.vue                               | Vue        |        561 |          0 |          3 |        564 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysMenuAdministration\sysMenuAdministration.vue                 | Vue        |         23 |          0 |          3 |         26 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysNotice\model\noticeEdit.vue                                  | Vue        |        155 |          3 |         16 |        174 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysNotice\model\showNoticeMsg.vue                               | Vue        |        101 |          2 |         10 |        113 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysNotice\sysNotice.vue                                         | Vue        |        453 |          6 |         24 |        483 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysOperationLog\sysOperationLog.vue                             | Vue        |        618 |         92 |         34 |        744 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysRoleAdministration\component\roleEditWin.vue                 | Vue        |        186 |          1 |          1 |        188 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysRoleAdministration\component\roleLimit.vue                   | Vue        |        239 |          2 |          1 |        242 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysRoleAdministration\sysRole.vue                               | Vue        |        321 |          1 |          1 |        323 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysRoleAdministration\sysRoleAdministration.vue                 | Vue        |         30 |          0 |          2 |         32 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\sysUserAdministration\sysUserAdministration.vue                 | Vue        |         38 |          4 |          4 |         46 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\system\system.vue                                               | Vue        |         11 |          0 |          0 |         11 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\userManage\userEdit.vue                                         | Vue        |      1,060 |         98 |         24 |      1,182 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\userManage\userList.vue                                         | Vue        |        306 |          7 |         13 |        326 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\login\App.vue                                                                   | Vue        |        280 |         13 |         28 |        321 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\login\login.html                                                                | HTML       |         17 |          0 |          0 |         17 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\login\login.js                                                                  | JavaScript |         15 |          3 |          3 |         21 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\App.vue                                                                | Vue        |        948 |         46 |         59 |      1,053 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\OperateMenu\OperateMenu.vue                                 | Vue        |         72 |          0 |          1 |         73 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\OperateMenu\OperateMenuData.js                              | JavaScript |         55 |          0 |          1 |         56 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\OperateMenu\dataSetGroupEdit.vue                            | Vue        |        410 |         25 |         46 |        481 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\icon\hang-cao-zuo.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\icon\icon-tuozhuai.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\mixins\action-handler.js                                    | JavaScript |          7 |          0 |          1 |          8 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\mixins\query-item.js                                        | JavaScript |          7 |          0 |          1 |          8 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\mixins\scrollable.js                                        | JavaScript |         76 |          2 |          2 |         80 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\relative.vue                                                | Vue        |      3,555 |        254 |        273 |      4,082 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\showContent.vue                                             | Vue        |        350 |         93 |         18 |        461 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\components\sideBar.vue                                                 | Vue        |        209 |         46 |         10 |        265 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\relation.html                                                          | HTML       |         17 |          0 |          1 |         18 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\relation\relation.js                                                            | JavaScript |         41 |          3 |          7 |         51 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\App.vue                                                                  | Vue        |        412 |          6 |         12 |        430 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\common\common.js                                                         | JavaScript |         13 |          7 |          3 |         23 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\editCompute.vue                                               | Vue        |        309 |         20 |          2 |        331 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\editDim.vue                                                   | Vue        |        286 |         30 |          7 |        323 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\editGdl.vue                                                   | Vue        |        172 |         10 |          3 |        185 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\filterConfig.vue                                              | Vue        |        693 |         23 |          9 |        725 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\getFile.vue                                                   | Vue        |        341 |          8 |          4 |        353 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\leftAside.vue                                                 | Vue        |      1,108 |         64 |         17 |      1,189 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\components\reportContent.vue                                             | Vue        |        273 |         11 |          2 |        286 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\report.html                                                              | HTML       |         17 |          0 |          1 |         18 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\report.js                                                                | JavaScript |         39 |          3 |          9 |         51 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\report\router\index.js                                                          | JavaScript |         11 |          2 |          3 |         16 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\App.vue                                                                 | Vue        |        641 |         28 |         10 |        679 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\repshow.html                                                            | HTML       |         18 |          0 |          1 |         19 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\repshow.js                                                              | JavaScript |         61 |         12 |          8 |         81 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\store\actions.js                                                        | JavaScript |         12 |          1 |          4 |         17 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\store\getters.js                                                        | JavaScript |          4 |          0 |          0 |          4 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\store\index.js                                                          | JavaScript |         41 |         10 |          6 |         57 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\repshow\store\mutations.js                                                      | JavaScript |         12 |          1 |          4 |         17 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\Tree.vue                                                                 | Vue        |        185 |          1 |          7 |        193 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\VueContextMenu.vue                                                       | Vue        |        202 |          2 |          4 |        208 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\buildNewTable.vue                                                        | Vue        |        178 |         17 |          2 |        197 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\buildNewTable2.vue                                                       | Vue        |        749 |        128 |          8 |        885 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\canvasMap.vue                                                            | Vue        |        738 |         96 |         17 |        851 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-bar.vue                                                            | Vue        |        261 |        214 |          8 |        483 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-col-menu.vue                                                       | Vue        |        114 |          3 |          1 |        118 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-funnel.vue                                                         | Vue        |        132 |          0 |          6 |        138 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-newTable.vue                                                       | Vue        |        602 |        164 |         16 |        782 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-picture.vue                                                        | Vue        |         38 |          0 |          6 |         44 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-pie.vue                                                            | Vue        |        138 |        201 |          7 |        346 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-radar.vue                                                          | Vue        |        221 |         10 |         18 |        249 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-search.vue                                                         | Vue        |      2,459 |        175 |        135 |      2,769 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-tab.vue                                                            | Vue        |        171 |          5 |          6 |        182 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-table.vue                                                          | Vue        |      2,266 |        265 |         51 |      2,582 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-text.vue                                                           | Vue        |        158 |          4 |         13 |        175 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\chart-zhexiantu.vue                                                      | Vue        |        297 |         15 |         15 |        327 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\dataModel\controlInstProp.js                                             | JavaScript |         80 |         14 |         19 |        113 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\dropTree.vue                                                             | Vue        |        368 |         24 |         14 |        406 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\global.vue                                                               | Vue        |         14 |          0 |          0 |         14 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\indicatorDetailed.vue                                                    | Vue        |        163 |          3 |         18 |        184 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\modelItem.vue                                                            | Vue        |         98 |          0 |          5 |        103 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\newTableDesign.vue                                                       | Vue        |        683 |        123 |          7 |        813 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\noTabModels.vue                                                          | Vue        |        409 |         24 |          8 |        441 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\popMenu.vue                                                              | Vue        |        441 |         27 |         20 |        488 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\quillEditorModule.vue                                                    | Vue        |          0 |        129 |          1 |        130 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\quillEditorModuleFalse.vue                                               | Vue        |          0 |         82 |          1 |         83 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\selectDate.vue                                                           | Vue        |        172 |          1 |          4 |        177 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tabItem.vue                                                              | Vue        |         38 |          3 |          2 |         43 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tableClumClickOpen.vue                                                   | Vue        |         23 |          0 |          7 |         30 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tableClumControl\chart-table-clumn.vue                                   | Vue        |        246 |         18 |         19 |        283 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tableClumControl\tableHeadClumnEdit.vue                                  | Vue        |        540 |         58 |         32 |        630 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tableClumControl\tableHeadClumnEditNew.vue                               | Vue        |        977 |         35 |         15 |      1,027 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\tableClumControl\tableHeadEditTool.vue                                   | Vue        |         78 |          7 |          5 |         90 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\topTools.vue                                                             | Vue        |         86 |          5 |          7 |         98 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\umerationDrop.vue                                                        | Vue        |        381 |          3 |          3 |        387 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\viewSql.vue                                                              | Vue        |         62 |          1 |          1 |         64 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\publicModule\wangeditorTmp.vue                                                        | Vue        |        104 |         54 |          9 |        167 |
| Total                                                                                                                                    |            |    101,142 |     10,778 |      9,727 |    121,647 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
